id|name|price|prime|imageUrl|reviews|rating|category|subcategory
1|Unbranded Plastic Computer|19.00|0|exquisite-diamond-ring.jpg|2132|1|pets
2|Small Concrete Keyboard|470.00|1|pink-flamingo.jpg|5740|3|electronics
3|Refined Granite Computer|424.00|1|simple-and-exquisite-keyboard.jpg|5397|3|beauty
4|Handcrafted Steel Mouse|55.00|0|snickers.jpg|9768|0|sports
5|Handmade Cotton Towels|692.00|1|rendering-of-the-iphone-6.jpg|3749|0|tools
6|Ergonomic Metal Sausages|473.00|1|microscope.jpg|3622|1|pets
7|Handcrafted Fresh Bike|2.00|1|wild-tropical-blast-pop-tart.jpg|1565|1|electronics
8|Generic Fresh Chicken|784.00|1|camera-lens.jpg|1383|1|music
9|Licensed Concrete Pants|757.00|0|fanta.jpg|1883|5|sports
10|Licensed Plastic Chair|400.00|1|pink-flamingo.jpg|3108|1|clothing
